Input,Target,Progression
"There's a possibility of nausea,fatigue,and hair loss.",Oh honey... this is just too much.,I
"We know it's tough,but we believe this is the best course of action.",I just want her to get better. This is all so unfair.,I
We do too. We'll be with her every step of the way.,Thank you.,D
"We've managed to stop the bleeding,but the next few hours are critical.",Critical What does that mean,I
We need to closely monitor his condition to ensure stability.,"Is he going to be okay Please,just tell me he'll be okay.",I 
We're doing everything we can. He's a fighter.,I can't lose him. He's all I have.,I
"We understand. We'll be here with you,every step of the way.",Thank you.,I
We'll keep you updated on any changes.,Please do.,N
"The test results are in,and it's not good news.",What is it What's wrong,I
It appears to be a malignant tumor.,Cancer But... how,I
"We'll discuss treatment options,but it's likely to be a long road.",I... I don't know what to say.,I
"We'll be with you every step of the way,providing the best possible care.",Thank you. I just... need a moment.,I
Of course. Take your time.,Thank you.,D
He's asking for you.,Really Can I go see him,D
Of course. He's been asking for you since he woke up.,"Oh,thank goodness I'll be right there.",D
"Just be mindful,he's still weak.","I will,thank you so much",D
"He's been through a lot,so keep it brief for now.","Absolutely,I understand.",D
Let us know if you need anything.,I will. Thank you again.,N 
"We were able to reattach the limb,but we're not sure of the longterm functionality.",Will he be able to use it again,I 
It's too early to tell. There will be extensive physical therapy.,"But there's a chance,right A chance he could use it normally",I
"We're hopeful,but we want to be realistic about the challenges.",I just... I can't imagine him having to live like that.,I
We'll explore every option and provide the best possible care.,Okay. I just... need a minute.,I 
Of course. Take your time.,Thank you.,D 
We've done all we can.,What do you mean,I 
His body isn't responding to treatment.,"No... no,that can't be right.",I 
We're so sorry. We know this is difficult to hear.,I... I don't understand. He was fine just yesterday.,I 
We'll continue to keep him comfortable.,Please... just tell me there's something else we can do.,I 
The biopsy results confirm it's benign.,Benign You mean... it's not cancer,D 
That's correct. It's a noncancerous growth.,"Oh,thank God That's amazing news",D 
"We'll still need to monitor it,but there's no immediate cause for concern.","That's okay,I can handle that. This is such a relief.",D 
We're happy to share this news with you.,Thank you. Thank you so much,D
We'll schedule a followup appointment to discuss the next steps.,Absolutely. Thank you again,N 
"She's stable now,but she'll need to stay with us for observation.",For how long,N 
It's hard to say at this point. We'll need to monitor her progress.,Okay. Can I stay with her,N
Absolutely. We have a comfortable waiting area just outside her room.,Thank you. I don't want her to be alone.,N
We understand. We'll keep you updated on any changes.,Thank you.,N 
He's awake and asking for you.,"Oh,thank goodness Can I see him",D
Absolutely. He's in the recovery room right now.,I'll be right there.,D 
"Just be mindful,he's still a bit groggy from the anesthesia.","Of course,I understand.",D 
"If you need anything,just let us know.",Thank you so much.,D 
I'll go see him now.,We'll be here if you need us.,N 
We need to discuss endoflife care options.,Endoflife But... we were just talking about treatment options.,I 
His condition has deteriorated rapidly. We're afraid there's nothing more we can do.,"No... no,that can't be right.",I 
We know this is incredibly difficult. We're here for you.,I just... I need some time.,I 
Of course. Take all the time you need.,Thank you.,I 
We'll be here when you're ready to talk.,Thank you.,N 
There's been a setback.,What kind of setback,I 
The infection seems to be spreading.,But... I thought the antibiotics were working.,I 
"They were initially,but it appears to be resistant.",So what now What can we do,I 
We're going to try a different combination of medications.,Will that work It has to work.,I 
We're hopeful. We'll keep you updated.,Please do.,N 
He's asking for you again.,"Oh,good. Can I go see him",D 
Absolutely. He's been talking about you all morning.,I'll be right there.,D
He seems to be in good spirits today.,That's wonderful news I can't wait to see him.,D
Just let us know if you need anything.,I will. Thank you.,D
I'm so glad he's doing better.,We are too.,N 
"We've stabilized your father for now,but he's not out of the woods yet.",Thank goodness. Can I see him,N
"He's still unconscious from the surgery,but you can sit with him.",How long until he wakes up,I
"It's hard to say with head injuries. Could be hours,could be days.",Days Oh god...,I
We're doing everything we can. A specialist will be in to see him soon.,Okay... okay. Thank you.,D
"She's a fighter,but this is a tough surgery. We're doing our best.",I know you are. Thank you.,N
"She's lost a lot of blood,we're working on getting her levels up.","Just... save her,please.",I
"We'll know more once she's out of surgery,it's a waiting game now.",I don't know what I'd do if I lost her.,I
"Try to stay positive,we're going to do everything we can.","I'm trying,it's just so hard.",D
"Your son is awake,but he's still very confused.",Can I go in and see him,N
"Yes,but keep it brief and try not to overwhelm him.","Of course,I just want him to know I'm here.",D
"He might not remember everything,it's normal after a concussion.",Will he be okay,I
"We're monitoring him closely,but the long term outlook is good.","Thank you,you've been so kind.",D 
"We were able to remove the tumor,but we need to run more tests.",Is she going to be alright,N
The tests will tell us more about the type of tumor and next steps.,And... if it's bad,I 
We'll discuss all options with you once we have more information.,This is just... a lot to process.,I
"His heart is weak,but we're managing it with medication for now.",How long can he go on like this,N
"It's hard to say,everyone responds differently to treatment.",Is he going to... you know...,I
We're focused on keeping him comfortable and maintaining his quality of life.,"For how long,though",I
"The bone is shattered pretty badly,he'll need surgery and rehab.",How long will he be in the hospital,N
"Recovery will be a long road,but he's young and healthy.","He's just a kid,this isn't fair.",I
"I know it's hard,but he's strong. He'll get through this.",I just want him to be okay.,I 
"She's stable,but the infection is pretty aggressive.",Is she going to make it,N 
"We're giving her strong antibiotics,but it's a serious situation.",What if the antibiotics don't work,I
"We have other options,we won't give up on her.",I don't want to lose her.,I
"The surgery went well,but there's a chance of nerve damage.",Will he be paralyzed,N
We won't know the extent of the damage until he wakes up.,"Oh my god,he's a dancer.",I
"We'll explore all treatment options,including physical therapy.",This could ruin his life.,I
"We're running tests,but it looks like a stroke.",How bad is it,N 
"The severity varies,we need to see what area of the brain is affected.",Will he be able to talk Walk,I
We won't know until the tests are back and the swelling goes down.,This is a nightmare.,I
"We've stopped the bleeding,but he's lost a lot of blood.",Will he need a transfusion,N
"Yes,we're preparing for that now. He's in good hands.",Is he going to be okay,I
"He's stable for now,but it was a close call.",I thought I'd lost him.,I
"She's in a coma,we don't know when she'll wake up.",Is she going to be brain dead,N
"It's too early to say,we're monitoring her brain activity closely.","I can't lose her,she's all I have.",I
We're doing everything we can to help her.,Just... please let her wake up.,I 
"His kidneys are failing,he'll need dialysis.",How long can he live on dialysis,N
"It can extend life for years,but it's not a cure.",Is there any hope for a transplant,I
"We can discuss that option,but it's a long and complex process.",I just want him to have a chance.,I
"The cancer has spread,there's not much more we can do.",How long does she have,N
"It's hard to say,but we're focusing on keeping her comfortable.","This isn't fair,she's so young.",I
"I know this is devastating news,we're here for you both.",I don't know what I'm going to do without her.,I 
"The baby's heart rate is dropping,we need to do an emergency Csection.",Will they both be okay,N
"We're doing everything we can,but it's a highrisk situation.","I can't lose them both,please.",I
"We have a great team,we're going to do our best.",Just... save them both.,I
"We've stabilized your father for now,but he's still in critical condition.",Thank God... what happens next,N
He'll be moved to the ICU for close monitoring.,Can I see him,N
"You can see him briefly,but he's sedated and may not be responsive.","I understand,I just need to see him.",D
Of course. A nurse will take you there shortly.,Thank you.,D
We're doing everything we can.,"I know you are,thank you.",D
We're running some tests to determine the best course of treatment.,How long will that take,N
We should have results within a few hours.,And then what,I
We'll discuss the options with you and make a plan.,What kind of options are we talking about,I
"It's too early to say for sure,but we'll explore all possibilities.",This is all happening so fast.,I
"I know this is difficult,but we're here for you every step of the way.",I just want her to be okay.,I 
"The surgery went well,but there were some complications.",What kind of complications,I
"There was some unexpected bleeding,but we were able to control it.",Is she going to be alright,I
"She's in recovery now,and we're monitoring her closely.",I'm so scared.,I
"I understand,but she's a fighter. We'll keep you updated.",Can I see her,D
"Not yet,but as soon as possible.",Okay.,D
Your wife is resting comfortably now.,When can I take her home,D
She'll need to stay with us for a few days for observation.,But she's okay,D
"Yes,she's doing well. We just want to be cautious.",I hate seeing her like this.,N
We'll take good care of her.,I know you will.,N
We'll keep you updated on her progress.,Thank you.,N 
"We've stabilized your father for now,but his condition remains critical.","Thank you for telling me,doctor. What happens next",N
"He's on life support,and we're doing everything we can.","I understand,just please,keep trying.",N
We need to discuss the possibility of difficult decisions.,Difficult decisions What do you mean,I
"If his condition worsens,we may need to consider letting him go.","No,no,we can't we're not there yet.",I
"I know this is hard,but we need to be prepared.",I I just need a moment.,I 
"Your wife is out of surgery,but there were complications.",Complications How bad is it,I 
"She's stable now,but she'll need further treatment.",What kind of treatment Will she be okay,I
We'll know more after some additional tests.,This is all happening so fast,I 
We're doing everything we can to help her.,I know you are. Thank you.,D
We'll keep you updated every step of the way.,Please do. I don't know what I'd do without her.,D
"The surgery was successful,but your son has a long road to recovery.",Thank goodness the surgery went well. What's the recovery process like,N
He'll need extensive physical therapy and rehabilitation.,We're ready to do whatever it takes.,N 
"It's going to be challenging,but he's young and strong.",He's a fighter. He'll get through this.,N
We're here to support you both every step of the way.,Thank you. We appreciate that.,D
He's in good hands here.,I know he is. Thank you again.,D
"We did everything we could,but your sister didn't make it.","No no,that can't be right.",I 
I'm so sorry. We did all we could.,I I don't understand,I 
I know this is incredibly difficult to hear.,This this can't be happening.,I
If there's anything we can do,I I just need some time.,I 
I'm truly sorry for your loss.,Thank you.,I
Your mother is resting comfortably now.,Thank you for taking care of her.,D
"We're managing her pain,and she's stable.",That's a relief to hear.,D
She may be a little disoriented when she wakes up.,"That's okay,as long as she's alright.",N
We'll continue monitoring her closely.,Thank you for everything you're doing.,D
"If you need anything at all,just let us know.",I will. Thank you again.,D 
We need to run some more tests on your husband.,More tests Is something wrong,I
We just want to rule out any other possibilities.,But you said he was stable.,I 
"He is,but we're being thorough.","I'm trying to stay positive,but this is hard.",I
"I understand your concern,but it's important to be sure.",I just want him to be okay.,I 
We'll have the results soon.,Okay. Thank you.,I 
"The biopsy results are back,and it's not good news.",What is it What's wrong,I 
It's cancer. We'll need to discuss treatment options.,Cancer how how bad is it,I
We'll know more after further tests and scans.,This can't be happening,I
We're going to do everything we can to fight this.,I I don't know what to say.,I
We're here for you every step of the way.,Thank you.,I 
Your daughter's condition is very serious.,What are you saying Is she going to be okay,I 
"We're doing everything we can,but it's a critical situation.",I I don't understand she was fine yesterday.,I 
Sometimes these things happen suddenly.,But she's so young,I 
"We're here with her,and we're not giving up.",Please please save her.,I 
We'll keep you updated as things develop.,I I don't know what I'd do without her.,I 
There's been a change in your father's condition.,What is it Is he okay,I
He's taken a turn for the worse.,Oh no what happened,I 
His body is shutting down.,Can't you do anything,I 
"We're doing our best,but it doesn't look good.",I I need to see him.,I 
Your wife is awake and asking for you.,"Oh,thank God How is she",D
She's a bit groggy but doing well.,Can I see her,D
She's eager to see you.,I can't wait to see her too.,D
"Just take it easy,she needs rest.",I will. Thank you so much.,D
We have some news about your son's condition.,What is it Is he alright,N 
The latest tests show some improvement.,"Oh,that's wonderful news",D 
He's responding well to the treatment.,Thank goodness. We were so worried.,D 
"He still has a ways to go,but this is a positive step.",This is the best news we've had in a long time.,D
We'll continue monitoring him closely.,Thank you for everything.,D 
We're going to have to amputate your brother's leg.,Amputate But can't you save it,I 
"We tried everything we could,but the infection is too severe.",This is this is a nightmare.,I 
"I know this is difficult to hear,but it's the only option.",He's going to be devastated.,I 
We'll provide him with the best prosthetic and support.,I I just don't know what to say.,I 
We're here for you both.,Thank you.,I 
Your mother wants to see you. She doesn't have much time left.,Oh no I'm on my way.,I 
She's slipping away quickly.,I'll be there as fast as I can.,I 
She's been asking for you.,"I'm almost there,just hold on.",I 
I'll stay with her until you arrive.,Thank you.,I 
I'm so sorry.,I know,I 
Your husband is asking for you. He's awake.,Really Is he okay,D
"He's a little confused,but he's doing alright.",Can I see him,D
He's been asking for you constantly.,I've been so worried.,D 
He's going to be so happy to see you.,Me too.,D 
We may have found a suitable donor for your daughter.,"Really Oh my god,that's amazing",D
"It's still early,but it's a potential match.",This is the best news we've had.,D 
"We need to run some tests,but there's a chance",A chance is all we need.,D
We'll keep you updated every step of the way.,"Thank you,thank you so much.",D
We're all rooting for her.,Thank you for not giving up on her.,D 
"You can see him briefly,but he's not conscious at the moment.",Oh...I see. Will he wake up soon,I
It's hard to say. We're doing our best.,"I understand. Just please,do everything you can.",I 
Of course. We'll keep you updated.,"Thank you,doctor.",D
He's a fighter. We're not giving up.,Neither are we.,D
"The surgery went well,but there were complications.",Complications What do you mean,I
"He lost more blood than expected,but we're stabilizing him.",Oh god...is he going to be okay,I
We're doing everything we can. He's in good hands.,I just... I can't lose him.,I
We understand. We'll keep you informed.,Thank you.,N
He's asking for you.,Really Can I go see him,D
Of course. He's been worried about you.,I've been so worried about him.,D
I'll take you to his room.,Thank you so much.,N
He seems happy to see you.,I'm just so relieved he's okay.,D
We are too.,Thank you for everything.,D 
There's been some internal bleeding.,Bleeding Is it serious,I
We're monitoring it closely. He's going back for another scan.,This is just a nightmare...,I
We're doing everything we can. Try to stay positive.,It's hard right now.,I
I understand. We'll have more information soon.,Please keep me updated.,N
We will.,Thank you.,N
"The test results are back,and it's not what we hoped for.",What do you mean,I
It appears the cancer has spread.,Oh no...is there anything you can do,I
"We have some options,but it's not a cure.",But there's still hope,D
There's always hope. We'll discuss a plan with you soon.,Okay...thank you.,N
We'll fight this together.,We will.,N
"She's stable,but the next few hours are critical.",Can I stay with her,N
Of course. You can hold her hand if you'd like.,Thank you. I don't want her to be alone.,D
"She can hear you,even if she can't respond.",I'll keep talking to her.,D 
That's good. It can help.,I just want her to be okay.,I 
We all do.,Thank you.,D
He's asking for you again.,I'll be right there.,D
He seems calmer when you're around.,I won't leave his side.,D
That's good. It's important for him to feel supported.,He's not alone in this.,D
We're all here for him.,Thank you.,D
I appreciate everything you're doing.,Of course. That's what family is for.,N
We're going to run some more tests.,More tests Is something wrong,I
We just want to be thorough.,I'm getting worried...,I
It's natural to feel that way. We'll have answers soon.,I just want him to get better.,I
We do too. We'll keep you updated.,Thank you.,N 
We need to talk about end of life care.,"What No,it's too soon for that.",I
We just want to be prepared.,I can't...I can't think about that right now.,I
We understand. Take all the time you need.,This is just...so hard.,I
We're here for you. Whatever you need.,Thank you.,N 
He's resting comfortably now.,Is he...is he going to be okay,I 
He's peaceful. That's what matters most right now.,I just don't want him to suffer.,I
We'll make sure he doesn't.,Thank you.,D
We're here for you both.,I appreciate that more than you know.,D 
He's a strong man.,He is.,N 
He's fought hard.,He has.,N
We're proud of him.,Me too.,N
He's touched a lot of lives.,He has.,N
He won't be forgotten.,Never.,N 
"She's a fighter,just like her mother.",She is. She's got a lot of fight in her.,N
We're doing everything we can.,I know you are. Thank you.,N
She's in good hands.,I trust you.,N 
We'll keep you updated.,Please do.,N
We're here for you both.,Thank you.,N 
He's awake and asking for you.,I'll be right there,D
He's been worried about you.,And I've been worried sick about him.,D
He's happy to see you.,I'm so glad he's awake.,D
We are too.,Thank you for everything.,D 
"He's got a long road ahead,but he's strong.",He is. He's a fighter.,N 
"We've stabilized your father for now,but his condition remains critical.","Thank you,doctor. Can I see him",N
"You can see him briefly,but he's still unconscious.",I understand. I just want to be near him.,N
"Of course,I'll have a nurse take you to his room.","Thank you so much,doctor.",D
We're doing everything we can.,I know you are. We appreciate it.,D
"He's a fighter,that's for sure.","Yes,he is.",D
There's been a slight improvement in your wife's vitals.,"Oh,thank goodness Can I see her",D
"She's still in the ICU,but you can see her for a few minutes.",Thank you How is she doing,D
"She's stable,but still very weak.",I just want to hold her hand.,I
Your son's surgery was successful.,"Oh,that's wonderful news When can I see him",D
"He's still in recovery,but you can see him soon.",Thank you. How is he doing,D
"He's still groggy from the anesthesia,but he's doing well.",I can't wait to see him.,D
Your daughter's test results are inconclusive.,Inconclusive What does that mean,I
We need to run some more tests to be sure.,Is it serious,I
"It could be,but we won't know until we have more information.",This is so stressful.,I
We've had to put your husband on a ventilator.,A ventilator Is he going to be okay,I
"It's helping him breathe,but his condition is still serious.",This is all happening so fast.,I 
"I know this is difficult,but we're doing everything we can.",I just want him to get better.,I
Your brother is showing some positive signs.,Really That's great to hear,D
His fever is down and his breathing is improving.,Thank you for letting me know.,D
"He's still not out of the woods yet,but this is a good sign.",I'm so relieved.,D
Your mother's condition has worsened overnight.,Oh no. What happened,I
"Her infection is spreading,and she's having trouble breathing.",Is there anything you can do,I
We're giving her strong antibiotics and oxygen.,Will that help,I
We need to talk about your wife's prognosis.,Prognosis What do you mean,I
She's not responding to treatment as well as we'd hoped.,Is she going to be okay,I
It's hard to say at this point.,I don't understand. What are you saying,I
Your son is asking for you.,I'll be right there,D
He's been worried about you.,I've been worried about him too.,D
He's a brave young man.,He is. He gets that from his mother.,N
Your sister is resting comfortably now.,Thank goodness. Can I see her,D
"She's still sleeping,but you can sit with her if you like.",Thank you. I just want to be near her.,D
We're going to run some more tests on your father.,More tests Why,I
We need to get a clearer picture of what's going on.,Is he going to be okay,I
Your friend is showing signs of improvement.,"Oh,that's wonderful news",D 
"He's awake and talking,and his vital signs are stable.",Can I see him,D
"Yes,you can see him for a short while.",Thank you so much,D
We've had to increase your husband's medication.,Why Is he getting worse,I
"His pain is increasing,and we need to manage it.",I don't want him to be in pain.,I
Your daughter's surgery is taking longer than expected.,Should I be worried,I 
"There were some complications,but the surgeons are handling it.",Complications What kind of complications,I
We may need to consider surgery for your brother.,Surgery Is it that serious,I
"It's a possibility,but we're still evaluating his options.",I don't know what to think.,I 
Your mother is asking for you.,I'll be there in a minute.,D
She seems to be in good spirits.,That's good to hear.,D
She's a strong woman.,"Yes,she is.",N 
Your friend's condition is still critical.,Is there any hope,I 
"We're doing everything we can,but it's a difficult situation.",I don't want to lose him.,I
"We've stabilized your father for now,but his condition remains critical.",Thank you for telling me. What happens next,N
"He's on a ventilator,and we're monitoring him closely in the ICU.",Can I see him I need to see him.,I
"You can see him briefly,but he's sedated and may not be responsive.",I understand. I still need to be near him.,D
We're doing everything we can. We'll keep you updated.,I appreciate that. Thank you.,D
"The surgery went well,but there were some complications.",Complications What kind of complications,I
"There was some excessive bleeding,but we were able to control it.",Is he going to be okay Tell me he'll be okay.,I
"He's in recovery now,but it's too early to say for sure.",I don't know what I'd do if I lost him.,I
We're doing everything we can to ensure a positive outcome.,"Please,just keep me informed.",D
"The test results are in,and it's not the news we were hoping for.",What do you mean What's wrong,I
It's cancer. We'll discuss treatment options soon.,Cancer... how could this happen,I
We have a team of specialists who will work with you.,I can't... I can't lose her.,I
We'll be with you every step of the way.,I just need a minute.,D 
Your mother is resting comfortably now after the procedure.,Thank goodness. Can I see her,D
She's still a bit drowsy from the anesthesia.,I'll wait. I just want to be there when she wakes up.,N
We'll let you know as soon as she's fully awake.,Thank you. I appreciate everything you're doing.,N
We're here for you and your family during this time.,Thank you. We're so grateful.,N
We have some concerns about your wife's latest test results.,What kind of concerns Is she alright,I
There are some irregularities that we need to investigate further.,Irregularities Is it serious,I
"It could be,but we need to run more tests to be sure.",I don't understand... she was fine yesterday.,I
We'll keep you updated as we learn more.,Please do. This is all happening so fast.,I 
Your son is awake and asking for you.,"Oh,thank God Can I go see him",D
Of course. He's in good spirits.,That's such a relief to hear. Poor kid.,D
"He's a little sore,but that's to be expected.",I can imagine. Can I bring him anything,N
We need to talk about your husband's prognosis.,Prognosis What do you mean,I
The cancer is more advanced than we initially thought.,Advanced How advanced,I
It's spread to other organs.,Oh my God... how much time does he have,I 
It's difficult to say for certain.,This can't be happening...,I 
We'll focus on keeping him comfortable.,I just want him to be painfree.,D 
Your daughter's surgery has been postponed.,Postponed Why,I
There's a critical patient who needs the operating room.,But my daughter needs surgery too,I
I understand your frustration. We'll reschedule as soon as possible.,This is unacceptable. She's in pain,I
We're doing our best to prioritize urgent cases.,I just want my daughter to be okay.,D 
Your brother is showing signs of improvement.,Really That's wonderful news,D
"His vital signs are stabilizing,and he's responding well to treatment.",Thank you for telling me. I was so worried.,D
We're cautiously optimistic about his recovery.,I am too. Thank you for everything.,N 
We'll continue to monitor him closely.,Please do. And keep me updated.,N 
We need to discuss endoflife care for your father.,Endoflife care Are you saying he's dying,I
His condition is deteriorating rapidly.,This is happening too fast... I'm not ready.,I
We'll do everything we can to make him comfortable.,I just want him to know how much I love him.,I
We'll make sure he knows.,Thank you.,D
"The biopsy results are back,and it's benign.",Benign Are you sure,D
"Yes,the tumor is not cancerous.",Oh my God... that's amazing news,D
"We'll still need to monitor it,but it's a huge relief.",Thank you so much for telling me.,N
We're so happy for you and your family.,I can finally breathe again.,N 
Your friend is out of surgery and in recovery.,How did it go Is he okay,D
"The surgery was successful. He's still unconscious,but stable.",Thank goodness. Can I see him,D
He'll be in the recovery room for a while.,I'll wait as long as it takes.,N 
We'll let you know when you can see him.,Thank you. You've been so kind.,N 
We're here for you both.,I appreciate that more than you know.,N 
There's been a change in your wife's condition.,What kind of change Is she alright,I
She's taken a turn for the worse.,Oh no... what happened,I
Her body is shutting down.,Shutting down What can we do,I 
"We're doing everything we can,but it doesn't look good.",I can't lose her... not now.,I 
We'll stay with her until the end.,Please... stay with me too.,D 
Your son is asking to see you.,I'll be right there. Is he doing okay,N
"He's a bit scared,but he's a brave boy.",My poor baby. I'll be there soon.,N
We'll be here if you need anything.,Thank you. I'm so grateful for all of you.,N
He just wants his mommy.,"I'm on my way,sweetheart.",N 
We've exhausted all treatment options for your sister.,What does that mean There's nothing else we can do,I
Her cancer is too aggressive.,I don't want to lose her...,I
We'll focus on keeping her comfortable.,I understand. Thank you.,D
We'll be here for you and your family.,I appreciate that.,D 
Your mother is asking to speak with you.,Of course. How is she doing,N
"She's weak,but her spirits are high.",That's good to hear. I'll be right there.,N 
She wants to tell you something important.,I'm on my way.,N 
We'll give you some privacy.,Thank you.,N 
Your husband is awake and asking for you.,I'll be there in a minute. How is he feeling,D
"He's still groggy,but the surgery went well.",That's such a relief. Thank you for letting me know.,D 
We'll keep a close eye on him.,Please do. And thank you again.,N 
"He's on life support,and we're doing everything we can.",I don't understand... how did this happen so fast,I
"His heart is very weak,and his body is struggling.",He was fine yesterday... playing with his grandkids...,I
We're monitoring him closely and will keep you updated.,"Just please,do everything you can to save him.",I
"We're doing our best,I promise.",I... I don't know what I'd do without him.,I
"The surgery was complex,but it went as well as we could have hoped.",Is she going to be okay Will she be able to walk again,N
"It's too early to say for sure,but the initial signs are positive.",I just want her to be okay. She's so young...,D
"She's strong,and she's a fighter. We'll know more as she recovers.",I can't bear to see her like this...,D
"We're here for you both,every step of the way.",Thank you... I don't know what we'd do without your support.,D
"She's in good hands,and we'll do everything we can to help her heal.",I just want to hold her hand... tell her it's going to be alright.,D
We have some difficult news. The cancer has spread.,Oh god... no. This can't be happening.,I 
I understand this is a lot to process. We're here for you.,How much time does she have,I
It's hard to say definitively at this stage.,I can't... I can't lose her.,I
"We have options,and we'll discuss the best course of action.",She's so young... she has so much life left to live.,I
We'll do everything we can to make her comfortable and support her.,This is a nightmare...,I 
"The test results are in,and they're not what we hoped for.",What are you saying Is it bad,N
It appears the infection is more aggressive than we initially thought.,Oh no... what does that mean for his treatment,I
We'll need to adjust his medication and monitor him very closely.,Is he going to be okay,I
"We're doing everything we can,but it's a serious situation.",I... I don't know what to say.,I 
We'll keep you informed every step of the way.,"Please,just save him.",I 
"Your wife is out of surgery,and she's stable.",Thank goodness... can I see her,D
"She's still unconscious from the anesthesia,but you can see her soon.",I was so worried... this has been the longest day of my life.,D
"I understand,but she's strong. She'll pull through this.","I know,it's just so hard to see her like this.",D 
We'll keep you updated on her progress.,Thank you for everything.,N
She's in good hands here.,I know she is. Thank you.,N
We've had to sedate your son due to the severity of his injuries.,Is he going to be alright Please tell me he's going to be alright.,I 
He has a long road to recovery ahead of him.,Just tell me he's going to make it.,I
"He's young and strong,and he's receiving the best possible care.",I can't lose him... he's my baby.,I 
We understand this is incredibly difficult. We're here for you.,I just want to hold his hand...,I 
We'll keep you updated on his condition every step of the way.,Thank you.,D 
The biopsy results confirm our initial diagnosis.,So it's... it's really cancer,N
I'm afraid so. But we have a plan.,What kind of plan What are our options,D
We'll discuss the treatment options available and find the best course of action.,I just want to do whatever it takes to beat this.,D 
We're here to guide you every step of the way.,I'm scared...,D
I understand. This is a lot to take in.,I just want her to be okay.,D 
Your daughter is awake and asking for you.,"Oh,thank God Can I go see her",D
"Absolutely. Just be prepared,she may be a little disoriented.","That's okay,I just want to be there with her.",N
She's a brave young lady.,She is. She gets that from her mother.,N
We'll continue to monitor her closely.,Thank you for taking such good care of her.,N
You're welcome. We're here for you both.,Thank you.,N 
We were able to remove the tumor successfully.,That's wonderful news Is he going to be okay,D
"The surgery went well,but we need to monitor him closely for any complications.","I understand. But this is a good sign,right",D
It's definitely a step in the right direction.,Thank you... thank you so much.,D
We'll keep you updated on his progress.,"I'll be here,every step of the way.",N 
"He's a fighter,and he has a lot of people rooting for him.",I know he does.,N 
Your husband is resting comfortably after his procedure.,Can I see him,N
"He's still a bit groggy from the anesthesia,but you can see him shortly.",I've been so worried. This has been a nightmare.,D
"I understand,but he's doing well.",Thank you for taking care of him.,D
That's what we're here for.,I don't know what I would have done without you all.,D
We're here for you both.,Thank you.,D 
"We've run some additional tests,and unfortunately,the news isn't good.",What do you mean,N
The cancer has progressed more than we initially anticipated.,Oh no... what does that mean,I
"We need to discuss further treatment options,but the prognosis is not as optimistic.",I don't understand... how could this happen,I
This type of cancer can be very aggressive.,But... but there has to be something we can do.,I 
We'll explore all possibilities and do our best to fight this together.,I can't lose him... I won't.,I 
"The medication seems to be working,and his condition is improving.",That's such a relief to hear Can I see him,D
